Title,Author,Genre,Description,Year,Average Rating,Number of Pages,Range
Soul Mates,Thomas Moore,Psychology,"This companion volume to Care of the Soul offers more of Thomas Moore's inspiring wisdom and empathy as it expands on his ideas about life, love, and the mysteries of human relationships. In Care of the Soul, Thomas Moore explored the importance of nurturing the soul and struck a chord nationwide — the book became a long-term bestseller, topping charts across the country and selling 550,000 copies in hardcover and paperback combined. Building on that book's wisdom, Soul Mates, already a hardcover bestseller, explores how relationships of all kinds enhance our lives and fulfill the needs of our souls. Moore emphasizes the difficulties that inevitably accompany many relationships and focuses on the need to work through these differences in order to experience the deep reward that comes with intimacy and unconfined love.",1994,4,288,201 - 400
Soups,Norman Kolpas,Cooking,"Offers a variety of recipes for both hot and cold soups featuring vegetables, fruit, poultry, meat, or seafood, and includes tips on kitchen equipment, making basic stocks, and adding flavorful garnishes",1993,3.93,108,<201
Sources of the Self,Charles Taylor,Philosophy,"Discusses contemporary notions of the self, and examines their origins, development, and effects",1989,4.19,624,601 - 800
"South of the Border, West of the Sun",Haruki Murakami,Literary Fiction,"Growing up in the suburbs in post-war Japan, it seemed to Hajime that everyone but him had brothers and sisters. His sole companion was Shimamoto, also an only child. Together they spent long afternoons listening to her father's record collection. But when his family moved away, the two lost touch. Now Hajime is in his thirties. After a decade of drifting he has found happiness with his loving wife and two daughters, and success running a jazz bar. Then Shimamoto reappears. She is beautiful, intense, enveloped in mystery. Hajime is catapulted into the past, putting at risk all he has in the present.",2003,3.87,190,<201
South Park and Philosophy,Robert Arp,Philosophy,"If you think Saddam and Satan make a kinky couple, wait till you get a load of South Park and Philosophy. Get your Big Wheels ready, because we’re going for a ride, as 22 philosophers take us down the road to understanding the big-picture issues in this small mountain town. A smart and candid look at one of television’s most subversive and controversial shows, celebrating its 10th anniversary this year Draws close parallels between the irreverent nature of South Park and the inquiring and skeptical approach of philosophy Addresses the perennial questions of the show, and the contemporary social and political issues that inspire each episode Uses familiar characters and episodes to illustrate topics such as moral relativism, freedom of expression, gay marriage, blasphemy, democracy, feminism, animal ethics, existential questions and much more makes you laugh out loud",2006,3.41,273,201 - 400
"Speak, Memory",Vladimir Nabokov,Classics,"An autobiographical volume covering Nabokov's first 40 years up to his departure from Europe for America at the outset of World War II, telling of his emergence as a writer, his early loves and his marriage, his passion for butterflies and his lost homeland.",2000,4.19,255,201 - 400
Special Topics in Calamity Physics,Marisha Pessl,Fiction,"Having moved from one academic outpost to another throughout her childhood at the side of her aphorism-prone father, Blue van Meer attends the elite St. Gallway School in her senior year, where she falls in with a charismatic group of friends before the deaths of a teacher and student awaken her analytical instincts. A first novel. 50,000 first printing.",2006,3.71,514,401 - 600
Spellbound,Jane Green,Fiction,"Alice knows she should be happy. After all she has a handsome husband, a beautiful house and membership to all the most exclusive clubs in London. So what if the rumours about her husband's skirt-chasing are becoming harder to ignore? When Joe's indiscretions force a transfer to New York, Alice hopes it might be a fresh start. And when they find a beautiful old house in Connecticut Alice is overjoyed. For a while she and Joe seem as happy as newlyweds. But then the late nights and unexplained absences start again. What should Alice do? Stay and fight for him? Or leave with her head held high?",2003,3.63,439,401 - 600
Spellbound,Nora Roberts,Fiction,"This is a novella that previously appeared in Nora Roberts' anthology, A Little Magic.",2005,3.8,96,<201
Spider Mountain,P. T. Deutermann,Fiction,"Infiltrating a dangerous Appalachian mountain gang, former police officer Cam Richter and special agent Carrie Santangelo expose the gang's methamphetamine trade only to learn about their secret activities involving abandoned and abused children.",2006,3.91,309,201 - 400
Spider's House,Paul Bowles,Fiction,"Set in Fez, Morocco, during that country's 1954 nationalist uprising, The Spider's House is perhaps Paul Bowles's most beautifully subtle novel, richly descriptive of its setting and uncompromising in its characterizations. Exploring once again the dilemma of the outsider in an alien society, and the gap in understanding between cultures—recurrent themes of Paul Bowles's writings—The Spider's House is dramatic, brutally honest, and shockingly relevant to today's political situation in the Middle East and elsewhere.",2006,4.03,432,401 - 600
Spider's Web,Agatha Christie,Mystery,"A new 'Christie for Christmas' -- a full-length novel adapted from her acclaimed play by Charles Osborne Following BLACK COFFEE and THE UNEXPECTED GUEST comes the final Agatha Christie play novelisation, bringing her superb storytelling to a new legion of fans. Clarissa, the wife of a Foreign Office diplomat, is given to daydreaming. 'Supposing I were to come down one morning and find a dead body in the library, what should I do?' she muses. Clarissa has her chance to find out when she discovers a body in the drawing-room of her house in Kent. Desperate to dispose of the body before her husband comes home with an important foreign politician, Clarissa persuades her three house guests to become accessories and accomplices. It seems that the murdered man was not unknown to certain members of the house party (but which ones?), and the search begins for the murderer and the motive, while at the same time trying to persuade a police inspector that there has been no murder at all... SPIDER'S WEB was written in 1954 specifically for Margaret Lockwood and opened first at the Theatre Royal Nottingham before moving to the Savoy Theatre in London on 14 December 1954. With THE MOUSETRAP and WI",2000,3.83,241,201 - 400
Spindle's End,Robin McKinley,Fiction,"""The princess has been missing since she was a baby. And Rosie, an ordinary girl, is growing up in an unremarkable little village far away from the royal city. nremarkable, that is, in a land where magic is so common that it settles over everything like dust. But a fairy curse is the kind of magic nobody wants, because it always comes true. And Rosie cannot stay ordinary for ever .... obin McKinley, winner of the Newbery Medal, reweaves a classic fantasy tale, sparkling with magic and adventure, some wonderful animals and birds and - of course - fairies, both good and bad.""",2003,3.8,464,401 - 600
Spire,William Golding,Literary Fiction,The nation's favourite and best-selling study guides,2006,3.59,135,<201
SPQR VI: Nobody Loves a Centurion,John Maddox Roberts,Fiction,"Like so many young men in later generations, Roman playboy/detective Decius Caecilius Metellus the Younger is faced with the necessity of serving in his country's armed forces. Since a dangerous enemy has become powerful in the politics of Rome, Decius is just as well out of the city for a while. He sets out to join Caesar in Gaul (where the general has come and seen, but has as yet not been able to conquer. The occupying Roman army is at a standstill. When Decius shows up in full parade regalia (much to the amusement of the more informally uniformed veterans) and accompanied only by his young personal slave. Caesar sets him the task of discovering who murdered one of his centurions, a cruel and unfair officer feared and hated by every man of the one hundred soldiers under him. A further prod to Decius is that the main suspect is a youth whose father is a close friend of the Metellus family. With Caesar's decree that another killer be found in a matter of hours or the young man dies, Decius has his work cut out for him. John Maddox Roberts's series set in the first century A.D. vividly brings to readers a strong sense of the everyday life of the ancient Romans in the context of our own.",2003,4.13,288,201 - 400
